Model,Mean CV AUC,Std CV AUC,Test AUC
Logistic Regression,0.993632057435821,0.00030266158244075396,
Decision Tree (depth=5),0.9967140222815212,0.0006431196405792012,
Random Forest (untuned),0.9987234237940872,0.00047468012939283364,0.9982428261001476
Gradient Boosting,0.9988699361776181,0.0004512308399021521,0.9977963026469923
Random Forest (GridSearchCV-tuned pipeline),0.9989408747201576,,0.998947525501842
