Model,MSE,R2,Accuracy,Precision,Recall,AUC
Linear Regression,6314.827175620709,0.9563724453561425,,,,
Ridge Regression,6314.962919869256,0.9563715075332289,,,,
Logistic Regression (C=1.0),,,0.953882230328296,0.8207597645799893,0.9877656149388281,0.9904182545013319
Logistic Regression (C=0.01),,,0.9308233454924439,0.7497556207233627,0.9877656149388281,0.9895864126467724
