,Q1,Q3,IQR,lower,upper,n_outliers
IRRADIATION,0.0,0.4548798128571428,0.4548798128571428,-0.6823197192857142,1.137199532142857,44.0
DC_POWER,0.0,6366.96428575,6366.96428575,-9550.446428625,15917.410714375,0.0
