Training fraction,N rows,Training AUC,Test AUC
0.2,6140,0.9998136854162343,0.9977058096108546
0.4,12281,0.9998919818542708,0.9988793796710258
0.6,18422,0.9998844104452469,0.9984686643280447
0.8,24563,0.999884306050861,0.9987841017038666
1.0,30704,0.9998855952333044,0.998947525501842
