Model,Accuracy,Precision,Recall,AUC
C=1.0 (baseline),0.953882230328296,0.8207597645799893,0.9877656149388281,0.9904182545013319
C=0.01 (strong L2),0.9308233454924439,0.7497556207233627,0.9877656149388281,0.9895864126467724
