,skew
IRRADIATION,1.034334937335344
DC_POWER,0.9583925160466797
AC_POWER,0.9534054838163835
MODULE_TEMPERATURE,0.8418297362371563
AMBIENT_TEMPERATURE,0.6866568685354594
TOTAL_YIELD,-0.41833809852839166
DAILY_YIELD,0.27575054452724
