Model,Mean CV AUC,Std CV AUC
Logistic Regression,0.993632057435821,0.00030266158244075396
Decision Tree (depth=5),0.9967140222815212,0.0006431196405792012
Random Forest,0.9987234237940872,0.00047468012939283364
Gradient Boosting,0.9988699361776181,0.0004512308399021521
