Var1,Var2,Pearson,Spearman,AbsDiff
MODULE_TEMPERATURE,DAILY_YIELD,0.19828073212367725,0.3943680036974535,0.19608727157377626
DAILY_YIELD,IRRADIATION,0.07828670003614815,0.2176632147865612,0.13937651475041304
AC_POWER,DAILY_YIELD,0.08223447558254965,0.21871676309436,0.13648228751181035
