DAY_PERIOD,mean,std,count
Night,0.0,0.0,16594
Morning,561.3517454558264,363.3777454261534,17630
Afternoon,640.1552883246146,350.4245475760606,17514
Evening,3.6236328177349764,13.467838375068478,17040
