,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
count,68778.0,68778.0,68778.0,68778.0,68778.0,68778.0,68778.0
mean,3147.4262112269334,307.8027522655169,3295.968737182595,6978711.760671072,25.558469231600036,31.24462294445542,0.2322933633224978
std,4036.4571687992416,394.39643869534484,3145.178308878622,416271.9828562086,3.3612090264771295,12.308022869383574,0.3019426505874326
min,0.0,0.0,0.0,6183645.0,20.398504866666663,18.140415466666663,0.0
25%,0.0,0.0,0.0,6512002.53575,22.7244914,21.123944133333328,0.0
50%,429.0,41.493750000000006,2658.714286,7146685.0,24.6701782,24.818983933333335,0.0316197704666666
75%,6366.96428575,623.61875,6274.0,7268705.90625,27.96042866666667,41.69365866666666,0.4548798128571428
max,14471.125,1410.95,9163.0,7846821.0,35.25248613333334,65.54571366666664,1.2216518466666668
