,precision,recall,f1-score,support
0,0.996728086791803,0.9452882573901682,0.9703269069572507,6123.0
1,0.8207597645799893,0.9877656149388281,0.896551724137931,1553.0
accuracy,0.953882230328296,0.953882230328296,0.953882230328296,0.953882230328296
macro avg,0.9087439256858962,0.9665269361644981,0.9334393155475909,7676.0
weighted avg,0.9611263665735974,0.953882230328296,0.9554007919340088,7676.0
